"","ID_PSU","SpRich.ObsField","Foraging.W.ObsField","Foraging.O.ObsField","Foraging.S.ObsField","Feeding.I.ObsField","Feeding.G.ObsField","Feeding.O.ObsField","SpRich.multiSAR","Foraging.W.multiSAR","Foraging.O.multiSAR","Foraging.S.multiSAR","Feeding.I.multiSAR","Feeding.G.multiSAR","Feeding.O.multiSAR","Insectivor","Granivore","Omnivore","NDVI_med_mn","NDVI_med_sd","NDVI_max_mn","NDVI_max_sd","NDVI_MAD_mn","NDVI_MAD_sd"
"2",26,10,6,2,1,7,2,0,21.38203176,9.311566065,4.294770439,2.1517418,11.11763075,4.173726625,0,7,1,2,0.530975467434526,0.0666540913569513,2.44773273810148,15.4373045949798,0.334246697187424,0.0662442449359882
"3",33,21,9,10,1,11,6,3,38.06553235,21.90211071,18.93977438,2.925400359,23.45368452,11.09931503,6.461423884,11,5,5,0.5879249221012,0.12462585809498,7.92450825367868,38.6717041811022,0.239384472096339,0.0726090617655681
"4",67,24,11,7,5,17,6,0,39.15199153,17.26271384,17.05688249,10.61339059,27.180874,14.05897225,0,15,5,4,0.570725106360018,0.0899305113967798,5.13926874186099,25.3937519727841,0.304841953977197,0.0721467155818124
"5",73,14,3,6,4,9,4,0,20.70903481,6.550745553,12.08583672,5.355265869,18.10814854,6.240863119,0,9,3,2,0.436633172942698,0.119817824376126,2.05329689256251,16.7201930312399,0.221365909807384,0.0657019046154255
"6",74,9,1,4,3,5,3,0,12.43611098,2.210093817,7.100387148,6.24905928,10.63644154,6.615138307,0,5,3,1,0.385783153867722,0.110223756755506,1.31109059725404,5.49383669667411,0.21284132777527,0.0821993157929694
"12",127,17,9,6,2,12,3,2,27.67024003,13.79411207,13.92260968,7.287387423,21.25173069,4.297410877,9.114678869,11,2,4,0.564169467206299,0.106814590824174,3.46362131824493,12.488428499215,0.297357178439572,0.0690397048444085
"14",176,20,8,11,1,12,6,2,31.63361961,12.65622035,18.03741091,2.851437909,20.57472096,8.158220177,6.714589257,11,5,4,0.539822687098524,0.114842926884078,1.64577152813375,5.310156237263,0.250462526573055,0.0764017881133135
"15",180,15,6,6,2,9,5,0,24.82793806,10.7670707,11.16756314,4.199271015,14.96949904,8.549271817,0,9,4,2,0.438899674880505,0.0722517186445809,0.785716702532768,0.117598157746186,0.230234583448619,0.0514843960673355
"18",192,15,7,6,1,9,4,1,25.1040267,13.91865479,13.47850605,2.924326558,14.85515378,6.416376798,3.033918394,8,3,4,0.50642551445812,0.165370362304875,1.0486021487236,2.86123586656045,0.197229561166093,0.0662122487145931
"19",198,17,6,11,0,11,5,1,37.47710959,14.22653961,27.13906352,0,29.00449983,9.273375575,3.671480948,10,4,3,0.519652848616242,0.109389580875768,1.76242029642463,16.6906421064054,0.233937679278478,0.0648655035798401
"21",249,18,7,9,2,11,5,2,29.5778034,10.89554245,14.71775238,6.553656751,22.72315565,9.767158505,4.259283481,9,4,5,0.527666240443289,0.11594472753683,2.91971346180141,16.4316897349502,0.215286936464161,0.0714963894336806
"22",252,21,10,7,3,12,7,1,39.38644959,15.94215752,12.67833558,9.300295066,21.56365699,11.4095193,3.104732085,12,6,3,0.577603751440381,0.0965520351823346,1.39970865406394,5.59615799105939,0.244811549973115,0.0636929647366667
"23",292,12,7,3,1,5,4,2,22.86580636,9.008131927,5.784380549,3.062047676,6.693922337,7.681234357,4.035337532,4,3,5,0.679023832631111,0.107690090951549,1.27137668744326,4.48945545666042,0.181858152680844,0.0488358984990958
"24",303,26,9,12,4,13,9,3,50.61146129,14.51835614,23.46372495,5.873314166,21.96836881,14.45529782,5.880016264,10,8,8,0.470691047573493,0.225018527334505,0.869004293271899,2.25785079280476,0.158501348631643,0.0679649526988777
