"","ID_PSU","SpRich.ObsField","Foraging.W.ObsField","Foraging.O.ObsField","Foraging.S.ObsField","Feeding.I.ObsField","Feeding.G.ObsField","Feeding.O.ObsField","SpRich.multiSAR","Foraging.W.multiSAR","Foraging.O.multiSAR","Foraging.S.multiSAR","Feeding.I.multiSAR","Feeding.G.multiSAR","Feeding.O.multiSAR","ndvi_1km_km10c_shn","ndvi_1km_km20c_shn"
"2",26,10,6,2,1,7,2,0,21.38203176,9.311566065,4.294770439,2.1517418,11.11763075,4.173726625,0,1.60239920909894,2.16930372854905
"3",33,21,9,10,1,11,6,3,38.06553235,21.90211071,18.93977438,2.925400359,23.45368452,11.09931503,6.461423884,1.96173868148561,2.63245365533462
"4",67,24,11,7,5,17,6,0,39.15199153,17.26271384,17.05688249,10.61339059,27.180874,14.05897225,0,1.82540584807201,2.40894099773758
"5",73,14,3,6,4,9,4,0,20.70903481,6.550745553,12.08583672,5.355265869,18.10814854,6.240863119,0,1.95639914248764,2.52031109784952
"6",74,9,1,4,3,5,3,0,12.43611098,2.210093817,7.100387148,6.24905928,10.63644154,6.615138307,0,1.6978598050184,2.29526147572853
"12",127,17,9,6,2,12,3,2,27.67024003,13.79411207,13.92260968,7.287387423,21.25173069,4.297410877,9.114678869,1.88934692736379,2.52266328264308
"14",176,20,8,11,1,12,6,2,31.63361961,12.65622035,18.03741091,2.851437909,20.57472096,8.158220177,6.714589257,2.05279841983873,2.71190524545447
"15",180,15,6,6,2,9,5,0,24.82793806,10.7670707,11.16756314,4.199271015,14.96949904,8.549271817,0,1.36488480587421,1.99076779213727
"18",192,15,7,6,1,9,4,1,25.1040267,13.91865479,13.47850605,2.924326558,14.85515378,6.416376798,3.033918394,1.9564128680929,2.62242400446989
"19",198,17,6,11,0,11,5,1,37.47710959,14.22653961,27.13906352,0,29.00449983,9.273375575,3.671480948,1.94822060174515,2.58135652159563
"21",249,18,7,9,2,11,5,2,29.5778034,10.89554245,14.71775238,6.553656751,22.72315565,9.767158505,4.259283481,1.87130642078114,2.50764013177335
"22",252,21,10,7,3,12,7,1,39.38644959,15.94215752,12.67833558,9.300295066,21.56365699,11.4095193,3.104732085,1.81782976791576,2.50833847341695
"23",292,12,7,3,1,5,4,2,22.86580636,9.008131927,5.784380549,3.062047676,6.693922337,7.681234357,4.035337532,1.21677510240908,1.84238823545013
"24",303,26,9,12,4,13,9,3,50.61146129,14.51835614,23.46372495,5.873314166,21.96836881,14.45529782,5.880016264,1.79810733158555,2.37466485448879
