"ID_SSU","ndvi_km10c_shn","ndvi_km20c_shn"
291,1.90398701843063,2.4224005185075
295,1.40847888408595,1.83845425842689
303,1.9631539153358,2.43205182558574
386,1.42255556601604,1.77291763822611
390,0.876550511452062,1.43933947431268
491,1.25475806895075,1.67849035478353
495,1.23577895867003,1.79072874713318
658,1.08662234269399,1.72263099180491
666,1.0292169628394,1.35200913012287
741,1.47725674919776,2.19003850040539
745,1.87259555404139,2.16606965163396
878,0.923501064574646,1.40147842838805
886,1.4626965595638,1.99850403799244
890,1.9872749571981,2.60344378735892
1651,1.2259950717368,1.60094155726373
1655,0.932187348774337,1.45104492620442
1663,1.21180512131741,1.61458325475257
1671,2.07046740175693,2.67562641636555
1675,1.47576910303262,2.04160991028087
1801,1.38026401322807,1.79389002908379
1805,1.28772576546372,1.87425383189055
1813,1.54851390892886,2.18694569261506
1821,1.62336730942288,2.08805972654209
1825,1.61184004256333,2.12736897744655
1826,1.30017175022825,1.72295727387846
1830,1.29259522673456,1.95098516319541
1838,1.46201587278713,1.88868768719065
1886,1.53135293832696,1.79819435337299
1926,1.37367796183075,1.97517349541877
1930,1.47756216205437,2.16329161534913
1938,0.69849798538685,1.40995980520485
2010,1.272193329453,1.91080313055951
2018,1.65723926771358,2.1578181254168
2066,1.35452001879625,1.87227666198978
2070,1.34090615539786,1.85878917700711
2078,1.42649410145022,1.80672858628422
2286,1.11606014132076,1.77164953520229
2290,1.89578143914931,2.53882273471439
2306,1.74306296913785,2.12913957308204
2321,1.56031272158959,2.19774434705392
2325,1.88118290462311,2.41930702788046
2536,0.729131648271031,1.5242982595248
2540,1.81114677856172,2.39498116816563
2548,1.79183522316646,2.46716375158545
2606,1.89883949148708,2.44661033127728
2618,1.87379312066415,2.43437667432016
2766,1.70632482973717,2.26800522284978
2770,1.0582566009775,1.81495981184409
2801,0.988725654801702,1.41222333065443
2805,1.69375508210468,2.1646784263568
3045,1.36458461501432,1.94449754301526
3053,1.62459091301118,2.17632865239165
3281,1.43876695375339,1.93850786452646
3285,1.39356987279593,2.00809001010759
3966,1.59799596718527,2.09234865368913
4223,0.922012686463503,1.51500016399112
4231,0.878836489396189,1.35397351583768
4235,0.826649900914364,1.36506985391261
4296,1.99680177791693,2.55262580285157
4300,1.99043709834302,2.52838383922522
4316,1.51622741816063,2.17588898410406
4341,1.02863325023446,1.56780277823541
4345,1.36502751983852,1.93636475789332
4448,1.90702246657686,2.52421269950931
4456,1.45278386795781,1.97587122884312
4460,1.85592928810661,2.51686342953008
4528,1.0101793944945,1.74655754969638
4536,1.14316014984789,1.88345548624516
4540,1.25014045057834,1.79761655217846
4628,1.65627298513405,2.18979302130139
4636,2.02043739614336,2.56120500739955
4640,1.76367954227127,2.32165916161415
4706,0.963748015164561,1.3525259323017
4710,1.89998002938657,2.49655767981595
4733,1.57432680537727,2.23309522229886
4761,1.6220732305095,2.11813642988444
4765,0.866655818443383,1.46008147773275
4773,1.65920425465777,2.14443397316731
4881,0.930590655316317,1.2630585572629
4885,1.14526187951629,1.76790767639051
4893,1.99962070898495,2.59295012981898
5001,1.35646176385615,1.92979188708752
5005,1.77102105354618,2.27760369644308
5011,1.32955440788593,2.00788983070004
5015,1.71715642264842,2.25093058911094
5041,1.62349622138035,2.22287593085439
5281,1.5352083957409,2.13796795631435
5285,1.10006343814499,1.63949784464529
5293,1.71519500070369,2.33408633931154
5486,1.21372774757804,1.71580567643888
5490,1.71640440836121,2.3504782494395
6111,1.6765631616721,2.27590743605927
6115,1.71478898809384,2.28593137213534
6123,1.5284386393109,1.99065363816948
6156,1.51099357412311,2.19177393618081
6160,1.79125063124501,2.38215234911481
6168,1.39405194052027,2.07556825738202
6321,1.69269775219165,2.2901144762513
6325,1.70222720182326,2.31020261977684
6351,1.87571738653103,2.45455502384293
6355,1.62956511018454,2.28655101022456
7176,0.371552998142559,0.860370846980776
7180,1.92143819853332,2.40571009423451
7308,1.07266189707417,1.64655917383363
7316,1.44468554871252,2.13376966575697
7320,1.05596749930591,1.75159909678849
7546,1.5769762287445,2.06442381345711
7550,1.53933428986487,2.14167359798266
7558,0.819642979140604,1.0400450374077
7631,1.80560681350566,2.39336358693029
7635,1.47281138902697,1.92137407763877
