"ID_PSU","ndvi_1km_km10c_shn","ndvi_1km_km20c_shn"
15,2.10860392366642,2.70336871940311
26,1.60239920909894,2.16930372854905
33,1.96173868148561,2.63245365533462
67,1.82540584807201,2.40894099773758
73,1.95639914248764,2.52031109784952
74,1.6978598050184,2.29526147572853
78,1.6464479840278,2.33896205517492
82,2.06006651303247,2.70218843986739
85,2.0172199331266,2.67939720121603
104,1.90212391773891,2.59154019659293
108,2.02512502002433,2.6516311786383
127,1.88934692736379,2.52266328264308
169,1.0296481531235,1.62712220962976
176,2.05279841983873,2.71190524545447
180,1.36488480587421,1.99076779213727
185,1.82000516752598,2.42859698183166
190,2.03393420406372,2.69646157492576
192,1.9564128680929,2.62242400446989
198,1.94822060174515,2.58135652159563
214,1.99361552657045,2.65645889169184
249,1.87130642078114,2.50764013177335
252,1.81782976791576,2.50833847341695
292,1.21677510240908,1.84238823545013
303,1.79810733158555,2.37466485448879
