"EFT_class","EFT_Prod","EFT_Seas","EFT_Phen","PercCover"
"343","3","4","3",5.72026855206024
"143","1","4","3",5.57838423233386
"443","4","4","3",5.46220359371734
"243","2","4","3",5.15067497866594
"433","4","3","3",5.12805573928928
"333","3","3","3",4.99473931326618
"233","2","3","3",4.24316367761415
"133","1","3","3",4.01560042085494
"323","3","2","3",3.9758453940717
"223","2","2","3",3.70749896328486
"123","1","2","3",3.43949524824615
"423","4","2","3",3.41242070414378
"113","1","1","3",3.10808911980314
"213","2","1","3",2.87881228430328
"313","3","1","3",2.33423696052257
"112","1","1","2",2.28762761877671
"214","2","1","4",2.05697992028432
"424","4","2","4",1.89316179267754
"434","4","3","4",1.79034706823813
"122","1","2","2",1.76464338712828
"314","3","1","4",1.73105724381141
"114","1","1","4",1.57614972565604
"324","3","2","4",1.45414291932129
"413","4","1","3",1.45380020357315
"132","1","3","2",1.45037304609184
"212","2","1","2",1.2214389263401
"224","2","2","4",1.15426663970636
"222","2","2","2",0.978453460914983
"142","1","4","2",0.976054450678063
"414","4","1","4",0.969542851463568
"211","2","1","1",0.964059399493466
"312","3","1","2",0.904426859318613
"111","1","1","1",0.890375513645228
"444","4","4","4",0.871183431749872
"232","2","3","2",0.85267678135078
"322","3","2","2",0.803325713619867
"332","3","3","2",0.695712968706625
"422","4","2","2",0.680290760040715
"432","4","3","2",0.617573778132679
"311","3","1","1",0.577133319853181
"412","4","1","2",0.57199258363121
"421","4","2","1",0.57199258363121
"242","2","4","2",0.552800501735855
"334","3","3","4",0.503449434004942
"431","4","3","1",0.493167961561002
"124","1","2","4",0.472605016673121
"411","4","1","1",0.461295396984787
"342","3","4","2",0.457868239503473
"321","3","2","1",0.351283641834626
"442","4","4","2",0.344086611123868
"221","2","2","1",0.335518717420584
"234","2","3","4",0.269717293779366
"441","4","4","1",0.256351379602244
"121","1","2","1",0.161761833117994
"331","3","3","1",0.122692237831021
"344","3","4","4",0.0808809165589968
"134","1","3","4",0.0798527693146028
"231","2","3","1",0.0747120330926326
"341","3","4","1",0.0253609653617193
"131","1","3","1",0.0226192393766686
"244","2","4","4",0.0147367771696477
"144","1","4","4",0.00685431496262685
"241","2","4","1",0.00376987322944477
"141","1","4","1",0.000342715748131342
