"","evar","shannon","eft_count","EFAmin_std","EFAmax_std","EFAavg_std","EFAsemax_std","EFAstd_std","EFAamp_std","EFAmin_avg","EFAmax_avg","EFAavg_avg","EFAsemax_avg","EFAstd_avg","EFAamp_avg"
"Sp_rich_sum",0,0.175107754211289,0.00159456950960804,0,10.3613939943523,34.9754532955676,0,0,39.3645434319062,0.00811865759768017,1.84426792168521,0,0,0,0
"Hab_Woodland_sum",0,0.3578167286232,0.00611918050966893,0,7.50058242182469,39.2126990804435,0.583807934279511,0,51.7462258514168,4.6383359391758,5.07249223256816,0,0,6.47797444699987,0.341501046884937
"Hab_Farmland_sum",0,0.225265496138057,0.0122484786407961,0,15.8913370810433,32.8156058022929,1.0956706380315,0,36.6306632038014,0,4.38561399092595,0,0,0,5.47755395377681
"Hab_Meadow_grass_sum",0,0.241665380822356,0,0,20.4084627103745,76.9870785717222,0.63282016391767,0,46.7522840037458,5.71305461949349,0.0211011374172479,0,0,26.6011468996661,0
"Hab_Upland_sum",0,0,0,0,18.6312098291616,23.8177204063472,0.445739672266963,0,54.9735339813156,0.924625818442307,0,4.10629712993911,0,37.3202264920999,0
"Hab_Wetlands_sum",6.13871131094463,0.605316247856132,0.0841571627886802,0,2.75958789287499,24.4074556315295,0,0,51.579375267023,3.23295290556752,14.5718253566838,25.3261176098421,0,0,55.4966670988754
"Hab_Urban_suburb_sum",0,0.671945767527298,0.00624491763761108,0,7.28275203217043,36.0535948213976,0,0,27.2142080916859,0.926990576163647,1.08668579456164,0.793156132366137,0,0.0371936156553375,0.00382552922452598
"Hab_Heathland_sum",0,0,0,2.34114937376298,19.9044258429031,59.7969138490337,3.61220257890219,4.10816651378361,39.8089877379113,25.1910328053686,1.60701756627037,0,0,66.0318241044646,0
"Feed_Frugiverous_sum",0,0.39637214079163,0.0191253700811564,0.580142188790314,3.5638168019198,23.790850635212,0,0,88.6998498542157,0,0,15.7674191431724,0,0,0
"Feed_Granivorous_sum",0,0.238285329184553,0.0182843910784152,0,6.67883492741594,33.3533559151571,0,0,51.8120083917681,4.73576213835409,0.979730830628217,0,0,20.7523446769762,0.325703176683395
"Feed_Insectivorous_sum",0,0.0428532681365473,0.00630103638637256,0,9.27444495145964,32.7273885528011,0,0,48.008357312235,0.867883780604959,0,0,0,9.8879548554294,0
"Feed_Omnivorous_sum",22.5345078456687,1.94853836276002,0.00904731858593542,0,66.1709883261678,4.26307603343426,7.44022064850135,716.834205557504,0,36.9559303086771,88.5185744460802,1.39501725959961,1.46175954921131,0,88.9410144066967
"Omnivorous_h3_sum",0.804153856901155,0.470740415365006,0.0822305939021594,8.54292203633219,0,7.20050444734679,0,0,78.5642090190549,0,0,24.486944746235,0,7.85333515083758,0.167598265089051
"Omnivorous_prev_sum",21.6239676565326,1.93634250076409,0.00537573201967014,0,54.159064402626,17.2744524186582,7.53390622332468,778.552942408435,0,27.7718039057232,88.2245439999805,1.56991499582686,1.5145310027463,0,98.3139362452307
"Nest_Tree_sum",0,0.587229728177529,0,0,4.70875224294909,40.526474092209,1.59531505591579,0,22.8835629737809,1.22522336513058,5.85169587545304,0.644069819875284,0,0,11.4504618144942
"Nest_Shrub_sum",0,0,0,1.87763370411131,15.4983340116279,35.514753270611,1.07992061655924,0,81.8235057158143,10.3796151693381,0,0,0,38.6805029204099,0
"Nest_Ground_sum",0,0,0,0,12.6624952213771,49.9760349715057,0.932077523175412,7.28028734607983,44.0934066771612,13.8764535349376,0,0,0,73.564408920206,0
"Nest_Artificial_Urban_sum",1.22276136636837,0.560754344754876,0.0597328347260974,0.00429237941786679,0.305569105123254,5.27416067564859,0,0,23.3377594075135,0,1.30480354299996,15.971783748944,0,0.766191343384085,16.3228748278979
"Nest_Tree.Cavity_sum",1.01898611927117,0.199366210349337,0.0771657510480708,0,1.71924011231663,13.9338738999756,0,0,71.2846641257775,0,0,6.50953620598996,0,1.55381022911009,6.87794836549845
"Nest_Cavity_sum",0,1.05339365943193,0.0578251116688504,0,7.55286416594895,52.9846873822758,0,76.5806536893517,12.8049466056137,0,0,33.497887039946,0,0,0.00402601088838071
"Nest_Cliff_sum",2.34063645308432,2.72357842809839,0.0411097582758227,0,5.46731991622995,46.0267346524489,0,0,104.457711864755,36.9553688804015,0.260324854120485,9.09427755627166,0,260.461052382759,0.395015997007775
"Size_S_sum",0,0.275627876710153,0.00289770253420909,0,5.73802043873913,48.3597016421602,0,0,63.2496994291667,0,0,7.06151406645924,0,0,5.51304404591528
"Size_M_sum",0,0.287342435534772,0,0,8.63170321253941,57.3503103948099,1.86237054988547,0,66.3064606879877,14.0606817561229,0.319173291005466,0,0,74.4093081545024,0
"Size_L_sum",0,0,0.0192734801404384,0.076703540253949,12.2398243594693,36.8011497284196,0,0,42.7689180243076,4.27663800422653,3.6443178988492,0,0,0,0
"Size_XL_sum",0.552582101518938,1.30323366241004,0.0154209032212762,0,19.8647943205783,0,0.691441587257849,141.011772263863,0,1.7946269865614,5.40080954044946,1.93266122869625,0.052870010898936,0,13.4892938660322
