respVar,vargroups
Sp_rich_sum,Hab_type
Hab_Woodland_sum,Hab_type
Hab_Farmland_sum,Hab_type
Hab_Meadow_grass_sum,Hab_type
Hab_Upland_sum,Hab_type
Hab_Wetlands_sum,Hab_type
Hab_Urban_suburb_sum,Hab_type
Hab_Heathland_sum,Hab_type
Feed_Frugiverous_sum,Feed_type
Feed_Granivorous_sum,Feed_type
Feed_Insectivorous_sum,Feed_type
Feed_Omnivorous_sum,Feed_type
Omnivorous_h3_sum,Feed_type
Omnivorous_prev_sum,Feed_type
Nest_Tree_sum,Nest_type
Nest_Shrub_sum,Nest_type
Nest_Ground_sum,Nest_type
Nest_Artificial_Urban_sum,Nest_type
Nest_Tree.Cavity_sum,Nest_type
Nest_Cavity_sum,Nest_type
Nest_Cliff_sum,Nest_type
Size_S_sum,Size_type
Size_M_sum,Size_type
Size_L_sum,Size_type
Size_XL_sum,Size_type
